id,dataset,grade,problem,answer,operation,formula
nluds-0460,ASDiv,1-2,"Having this kind of collection made Jack a fast reader. If he can read 9 books in a day, how many books can he read in a year (a year = 365 days)?",3285 (books),Multiplication,9*365=3285
nluds-0461,ASDiv,1-2,Lexie has a lot of art materials. She needs to organize all these materials into containers. She counted her crayons and found out that she has 80 crayons which she will place in crayon boxes. Every crayon box can contain 8 crayons. How many crayon boxes does she need?,10 (crayon boxes),Common-Division,80/8=10
nluds-0462,ASDiv,1-2,A pile of clean white paper was stacked in the corner of her room. She decided to place these papers in paper envelopes which can contain 10 white papers. How many paper envelopes does she need if she has 120 clean white papers?,12 (paper envelopes),Common-Division,120/10=12
nluds-0463,ASDiv,1-2,"Beside the pile of clean white paper was a stack of 700 sheets of used paper. She wants to place it in boxes for recycling. If every box can contain 100 sheets, how many boxes does she need?",7 (boxes),Common-Division,700/100=7
nluds-0464,ASDiv,1-2,"Lexie's mom gathered all her watercolor paintings and thought of placing an equal number of paintings in four of the rooms in the house. If Lexie has 32 watercolor paintings, how many paintings will be placed in each of the four rooms?",8 (paintings),Common-Division,32/4=8
nluds-0465,ASDiv,1-2,"Lexie's younger brother helped pick up all the paper clips in Lexie's room. He was able to collect 81 paper clips. If he wants to distribute the paper clips in 9 boxes, how many paper clips will each box contain?",9 (paper clips),Common-Division,81/9=9
nluds-0466,ASDiv,1-2,"Christian and his parents went to Mt. Falton National Park for the weekend. They were welcomed warmly by the rangers who invite volunteers and call them ""earth keepers"". The junior ranger asked Christian to help him place 420 seedlings in packets. If every packet needs to contain 7 seeds, how many packets do they need?",60 (packets),Common-Division,420/7=60
nluds-0467,ASDiv,1-2,"Christian's mother prepared lemonade. Every pitcher of lemonade can serve 5 glasses. If she was able to serve 30 glasses of lemonade, how many pitchers of lemonade did she prepare?",6 (pitchers),Common-Division,30/5=6
nluds-0468,ASDiv,1-2,"Christian's father and the senior ranger gathered firewood as they walked towards the lake in the park and brought with them sacks. If every sack can contain around 20 pieces of wood, how many sacks were they able to fill if they gathered 80 pieces of wood?",4 (sacks),Common-Division,80/20=4
nluds-0469,ASDiv,1-2,"Christian and the junior ranger brought a bag of 140 nails as they visited every station assigned to the junior ranger. If they left exactly 7 nails in every station they visited, how many stations did Joline and the junior ranger visit?",20 (stations),Common-Division,140/7=20
nluds-0470,ASDiv,1-2,"Sunday morning was spent for making wood carvings which can be sold as souvenir for tourists. They were placed in shelves that can contain 8 wood carvings at a time. If 56 wood carvings were displayed, how many shelves were filled with carvings?",7 (shelves),Common-Division,56/8=7
nluds-0471,ASDiv,1-2,"Shiela has started writing a list of gifts that she plans to give to her family and friends this Christmas. For her classmates, she made colorful paper stars which will be placed in small clear bottles. She was able to prepare 45 paper stars. How many stars will be placed in each bottle if Shiela has 9 classmates?",5 (stars),Common-Division,45/9=5
nluds-0472,ASDiv,1-2,"Shiela has 6 neighbors who like to collect animal drawings. Shiela has a talent for drawing and so she drew 54 animals on small pieces of paper. If she plans to give the same number of animal drawings to her neighbors, how many will each of them receive?",9 (animals),Common-Division,54/6=9
nluds-0473,ASDiv,1-2,"Allen, Shiela's brother, likes to play with blocks. Shiela repainted Allen's old blocks in different colors. If Allen has 49 identical blocks and there are 7 blocks for every color of paint used, how many colors did Shiela use?",7 (colors),Common-Division,49/7=7
nluds-0474,ASDiv,1-2,"Aside from drawing animals, Shiela is fond of painting flowers. If she has 18 paintings of flowers, how many paintings can she give to each of her two grandmothers?",9 (paintings),Common-Division,18/2=9
nluds-0475,ASDiv,1-2,"It has been tradition in Shiela's home to hang a sock above the fireplace for each member of the family. This year, she placed a cinnamon ball every day in the socks for 5 of her family members. How long can she do this if she bought 50 cinnamon balls?",10 (days),Common-Division,50/5=10
nluds-0476,ASDiv,1-2,"Haley loves to collect things. This year, she decided to give away part of her collection as it was taking too much space in her room. Nine of her closest friends like stickers. If she plans to give all of them an equal number of stickers, how many will each receive if she has 72 stickers?",8 (stickers),Common-Division,72/9=8
nluds-0477,ASDiv,1-2,"In Haley's class, 5 are boys who love to play marbles. If Haley has 35 marbles, how many will each of the boys receive?",7 (marbles),Common-Division,35/5=7
nluds-0478,ASDiv,1-2,"When relatives visit Haley and her family, she and her cousins do origami. If she has 48 origami papers to give away to her six cousins, how many will each receive if she gives everyone the same number of origami papers?",8 (origami papers),Common-Division,48/6=8
nluds-0479,ASDiv,1-2,"A large bag of balls was kept under Haley's bed. Her mom placed the balls in bags for children in foster homes. If every bag can contain 4 balls and Haley has 36 balls, how many bags will be used?",9 (bags),Common-Division,36/4=9
nluds-0480,ASDiv,1-2,"Haley has 63 magazines in her cabinet. She plans to send it to the recycling office in their area. If she places it in boxes which can contain 9 magazines, how many boxes will she use?",7 (boxes),Common-Division,63/9=7
nluds-0481,ASDiv,1-2,"One bright sunny day, Betty decided to make bracelets from beautiful stones she bought from a local store. She bought 88 pink flower stones and wanted to make 8 bracelets out of these stones. How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet?",11 (pink flower stones),Common-Division,88/8=11
nluds-0482,ASDiv,1-2,"Betty also bought 140 shiny blue round stones. If 14 pieces of this stone is in each bracelet, how many bracelets of blue shiny round stones will there be?",10 (bracelets),Common-Division,140/14=10
nluds-0483,ASDiv,1-2,"Brenda, Betty's sister, wanted to have 3 bracelets with star-shaped stones. She also bought 36 star-shaped stones from the local store and gave it to Betty. How many star-shaped stones will there be in each of the bracelet Betty makes for Brenda?",12 (star-shaped stones),Common-Division,36/3=12
nluds-0484,ASDiv,1-2,"Shannon, Brenda's neighbor, joined Brenda in making bracelets. She brought 48 heart-shaped stones and wanted to have 8 of this type of stone in each of the bracelet she makes. How many bracelets with heart-shaped stones can Shannon make?",6 (bracelets),Common-Division,48/8=6
nluds-0485,ASDiv,1-2,"Brenda's mother made cookies for five. If she prepared 35 cookies and each of them had the same number of cookies, how many did each of them have?",7 (cookies),Common-Division,35/5=7
nluds-0486,ASDiv,1-2,"On the first Saturday of spring, Jane woke up early to enjoy the whole day and help with chores at home. Jane had been saving large empty cans to serve as pots for sunflowers. If she has 54 sunflower seeds and there are 9 cans, how many seeds will be placed in each can if she places an equal number of seeds in each can?",6 (seeds),Common-Division,54/9=6
nluds-0487,ASDiv,1-2,"Jane's mom picked cherry tomatoes from their backyard. If she gathered 56 cherry tomatoes and is about to place them in small jars which can contain 8 cherry tomatoes at a time, how many jars will she need?",7 (jars),Common-Division,56/8=7
nluds-0488,ASDiv,1-2,"Jane helped her mom prepare fresh lemonade. If each glass needs two lemons, how many glasses of fresh lemonade can she make if they have 18 lemons?",9 (glasses),Common-Division,18/2=9
nluds-0489,ASDiv,1-2,"Jane's dad brought home 24 marble potatoes. If Jane's mom made potato salad for lunch and served an equal amount of potatoes to Jane, herself and her husband, how many potatoes did each of them have?",8 (potatoes),Common-Division,24/3=8
nluds-0490,ASDiv,1-2,"For dessert, Jane's mom prepared 12 pieces of bite-size cinnamon swirls. If the three of them ate an equal number of pieces of cinnamon swirls, how many pieces did Jane eat?",4 (pieces),Common-Division,12/3=4
nluds-0491,ASDiv,1-2,"Marian baked bread, cookies and pastries one Saturday at home for her family and friends this holiday season. She made 47 gingerbread cookies which she will distribute equally in tiny glass jars. If each jar is to contain six cookies each, how many cookies will not be placed in a jar?",5 (cookies),Surplus,47/6=7 r5
nluds-0492,ASDiv,1-2,"Marian also prepared 59 croissants which she plans to give to her 8 neighbors. If each neighbor received and equal number of croissants, how many will be left with Marian?",3 (croissants),Surplus,59/8=7 r3
nluds-0493,ASDiv,1-2,"Marian also baked oatmeal cookies for her classmates. If she can place 12 cookies on a tray at a time, how many trays will she need to prepare 276 oatmeal cookies at a time?",23 (trays),Common-Division,276/12=23
nluds-0494,ASDiv,1-2,"Marian's friends were coming over that afternoon so she made 480 bite-sized pretzels. If one serving is equal to 12 pretzels, how many servings of bite-sized pretzels was Marian able to prepare?",40 (servings),Common-Division,480/12=40
nluds-0495,ASDiv,1-2,"Lastly, she baked 53 lemon cupcakes for the children living in the city orphanage. If two lemon cupcakes were left at home, how many boxes with 3 lemon cupcakes each were given away?",17 (boxes),Common-Division,(53-2)/3=17
nluds-0496,ASDiv,1-2,"Susie and her family woke up early on the first weekend of spring. They had a long list of activities for spring cleaning. Susie's mom prepared 74 carrot sticks for breakfast. If the carrots were served equally to 12 people, how many carrot sticks were left uneaten?",2 (carrot sticks),Surplus,74/12=6 r2
nluds-0497,ASDiv,1-2,"Susie and her sister gathered all 98 of their teddy bears and placed them on the shelves in their bedroom. If every shelf can carry a maximum of 7 teddy bears, how many shelves will be filled?",14 (shelves),Common-Division,98/7=14
nluds-0498,ASDiv,1-2,"Susie's mother collected all family pictures and wanted to place all of them in an album. If an album can contain 20 pictures, how many albums will she need if there are 480 pictures?",24 (albums),Common-Division,480/20=24
nluds-0499,ASDiv,1-2,"Joe, Susie's brother, collected all 94 trading cards scattered in his room and placed them in boxes. If a full box can hold a maximum of 8 cards, how many boxes were fully filled?",11 (boxes),Floor-Division,94/8=11 r6
nluds-0500,ASDiv,1-2,"Joe, Susie's brother, collected all 94 trading cards scattered in his room and placed them in boxes. If a full box can hold a maximum of 8 cards, how many cards are there in the unfilled box?",6 (cards),Surplus,94/8=11 r6
nluds-0501,ASDiv,1-2,"Susie's father repaired the bookshelves in the reading room. If he has 210 books to be distributed equally on the 10 shelves he repaired, how many books will each shelf contain?",21 (books),Common-Division,210/10=21
nluds-0502,ASDiv,1-2,"Matt and his friends were thinking of making Christmas decors for the clubhouse in their neighborhood. They are to repaint 350 balls in ten different colors. If they painted an equal number of balls for every color, how many balls are there for each color?",35 (balls),Common-Division,350/10=35
nluds-0503,ASDiv,1-2,"They had 119 matchboxes wrapped in colorful shiny wrappers. If they are to distribute the matchboxes equally to the 9 houses in the first block, how may matchboxes will each house receive?",13 (matchboxes),Floor-Division,119/9=13 r2
nluds-0504,ASDiv,1-2,"They had 119 matchboxes wrapped in colorful shiny wrappers. If they are to distribute the matchboxes equally to the 9 houses in the first block, how many colorful matchboxes will they have left?",2 (colorful matchboxes),Surplus,119/9=13 r2
nluds-0505,ASDiv,1-2,"They also gathered paper to create some star-shaped papier-mache. If each star requires 20 pieces of paper and they had 680 pieces of paper, how many stars were they able to make?",34 (stars),Common-Division,680/20=34
nluds-0506,ASDiv,1-2,"Matt had 4 small cans of gold paint. If the 34 stars that they made were to be distributed equally to the cans of paint, how many stars will be left unpainted?",2 (stars),Surplus,34/4=8 r2
nluds-0507,ASDiv,1-2,"Four girls were home all day one weekend preparing homemade treats. Anna made 33 blueberry cookies. If she shares this equally among her four friends, how many will each receive?",8 (blueberry cookies),Floor-Division,33/4=8 r1
nluds-0508,ASDiv,1-2,"Britney brewed lemon tea that's enough to fill ten cups. If she serves this to her parents and three siblings and they share this equally, how many cups will each have?",2 (cups),Common-Division,10/(2+3)=2
nluds-0509,ASDiv,1-2,"Cristina baked 17 croissants. If she planned to serve this equally to her seven guests, how many will each have?",2 (croissants),Floor-Division,17/7=2 r3
nluds-0510,ASDiv,1-2,"Cristina baked 17 croissants. If Cristina's croissants were served equally among her seven guests, how many will Cristina have left?",3 (croissants),Surplus,17/7=2 r3
nluds-0511,ASDiv,1-2,"Drew prepared 61 servings of butterscotch. If she expects her 6 sweet-tooth guests to share the butterscotch among them equally, how many will be left unconsumed?",1 (servings of butterscotch),Surplus,61/6=10 r1
nluds-0512,ASDiv,1-2,"Allen, Charles, Lex and Shiela spent days reading books for their book report. The texts were printed very small so they were only able to cover very few pages a day. Allen read about the Solar System. He read 10 pages a day of a book which has 120 pages. How many days did it take Allen to finish reading the book?",12 (days),Common-Division,120/10=12
nluds-0513,ASDiv,1-2,"Charles was curious about Greek mythology and so he read 8 pages a day of a 96-page book entitled ""Greek Mythology: Fast Facts."" How many days did it take Charles to finish the book?",12 (days),Common-Division,96/8=12
nluds-0514,ASDiv,1-2,"Lex read a 420 page book about music and instruments. If he can read exactly 30 pages a day, how many days will it take Lex to finish reading the book?",14 (days),Common-Division,420/30=14
nluds-0515,ASDiv,1-2,"Lex read another book with 240 pages. If he read the same number of pages for 12 days, how many pages did he read every day?",20 (pages),Common-Division,240/12=20
nluds-0516,ASDiv,1-2,"Shiela was into history of Asia. She can read 11 pages per hour of the book entitled ""Asia's History Made Easy"". If the encyclopedia has 143 pages, how many hours did it take Shiela to finish reading the book?",13 (hours),Common-Division,143/11=13
nluds-0517,ASDiv,1-2,"Instead of buying from the store, Melody made Christmas cards for the elderly in a nursing home. She had 99 blue sequins which she plans to use as snowflakes for the cards. If she distributes the sequins equally to 12 cards, how many sequins will Melody have left?",3 (sequins),Surplus,99/12=8 r3
nluds-0518,ASDiv,1-2,She had 35 mistletoe stickers and wanted to place them equally in 8 cards. How many mistletoe stickers will she have left?,3 (mistletoe stickers),Surplus,35/8=4 r3
nluds-0519,ASDiv,1-2,"Melody made 26 cut-outs of Christmas trees with red shiny balls. If she planned to paste 4 of this to the front cover of a certain number of cards, how many cards will she be able to make?",6 (cards),Floor-Division,26/4=6 r2
nluds-0520,ASDiv,1-2,"Melody made 26 cut-outs of Christmas trees with red shiny balls. If she planned to paste 4 of this to the front cover of a certain number of cards, how many cut-outs of Christmas trees will Melody have left?",2 (cut-outs of Christmas trees),Surplus,26/4=6 r2
nluds-0521,ASDiv,1-2,"Melody printed 53 identical snowman drawings. If she was able to prepare cards with 4 identical snowman drawings each, how many cards was she able to prepare?",13 (cards),Floor-Division,53/4=13 r1
nluds-0522,ASDiv,1-2,"Paul got a box of 479 crayons for his birthday. At the end of the school year, he only had 134 left. How many crayons had been lost or given away?",345 (crayons),Subtraction,479-134=345
nluds-0523,ASDiv,1-2,179 birds were sitting in a tree. 38 more birds flew up to the tree. How many birds were there altogether in the tree?,217 (birds),Addition,179+38=217
nluds-0524,ASDiv,1-2,Cindy's mom baked 1215 cookies. Paul's dad baked 1112 cookies. They both brought them to school for a party. How many cookies did they have altogether?,2327 (cookies),Addition,1215+1112=2327
nluds-0525,ASDiv,1-2,Beth has 106 crayons. She gives 54 of them away to Jen. How many crayons does Beth have left?,52 (crayons),Subtraction,106-54=52
nluds-0526,ASDiv,1-2,Misha has 34 dollars. How many dollars does she have to earn to have 47 dollars to buy a dog?,13 (dollars),Subtraction,47-34=13
nluds-0527,ASDiv,1-2,James had 39 stickers. He got some more stickers for his birthday. Then he had 61 stickers. How many stickers did James get for his birthday?,22 (stickers),Subtraction,61-39=22
nluds-0528,ASDiv,1-2,There were 51 geese in the farmer's field. 28 of the geese flew away. How many geese were left in the field?,23 (geese),Subtraction,51-28=23
nluds-0529,ASDiv,1-2,There were 27 boys and 35 girls on the playground at recess. How many children were on the playground at recess?,62 (children),Addition,27+35=62
nluds-0530,ASDiv,1-2,Paul had 28 strawberries in his basket. He picked 35 more strawberries. How many strawberries did he have then?,63 (strawberries),Addition,28+35=63
nluds-0531,ASDiv,1-2,Gary had 73 dollars. He spent 55 dollars on a pet snake. How many dollars did Gary have left?,18 (dollars),Subtraction,73-55=18
nluds-0532,ASDiv,1-2,There are 46 birds perched on the branches of a tree. How many feet are there on the branches?,92 (feet),Multiplication,46*2=92
nluds-0533,ASDiv,1-2,I see 115 cows grazing in the pasture. How many legs do I see?,460 (legs),Multiplication,115*4=460
nluds-0534,ASDiv,1-2,There are 397 butterflies. Each butterfly has 12 black dots and 17 yellow dots. How many black dots are there in all?,4764 (black dots),Multiplication,397*12=4764
nluds-0535,ASDiv,1-2,"At the zoo, I see 35 elephants and 48 tigers. How many legs do I see?",332 (legs),Multiplication,(35+48)*4=332
nluds-0536,ASDiv,1-2,"In the park, I see 109 dogs. How many legs do I see?",436 (legs),Multiplication,109*4=436
nluds-0537,ASDiv,1-2,"If you had 37 bags of cookies with 19 cookies in each bag, how many cookies would you have?",703 (cookies),Multiplication,37*19=703
nluds-0538,ASDiv,1-2,Each day you put a bag of garbage that weighs 55 pounds in the dumpster. How many pounds of garbage will you put in the dumpster in 4 weeks?,1540 (pounds of garbage),Multiplication,(4*7)*55=1540
nluds-0539,ASDiv,1-2,"If each piece costs 18 cents, how much would 136 pieces of bubble gum cost?",2448 (cents),Multiplication,136*18=2448
nluds-0540,ASDiv,1-2,This year on your 11th birthday your mother tells you that she is exactly 3 times as old as you are. How old is she?,33 (years old),Multiplication,11*3=33
nluds-0541,ASDiv,1-2,"For the fifth grade play, the chairs have been put into 27 rows with 16 chairs in each row. How many chairs have been put out for the play?",432 (chairs),Multiplication,27*16=432
nluds-0542,ASDiv,1-2,"A baker has a pan of fudge that measures 18 inches on one side and 29 inches on another side. If the fudge is cut into square pieces 1 inch on each side, how many pieces of fudge does the pan hold?",522 (pieces of fudge),Multiplication,18*29=522
nluds-0543,ASDiv,1-2,The Ferris wheel in Paradise Park has 14 seats. Each seat can hold 6 people. How many people can ride the Ferris wheel at the same time?,84 (people),Multiplication,14*6=84
nluds-0544,ASDiv,1-2,A garden has 52 rows and 15 columns of bean plants. How many plants are there in all?,780 (plants),Multiplication,52*15=780
nluds-0545,ASDiv,1-2,A sandbox is 312 centimeters long and 146 centimeters wide. How many square centimeters of ground does the sandbox cover?,45552 (square centimeters),Multiplication,312*146=45552
nluds-0546,ASDiv,1-2,Sarah picked 45 apples. Her brother picked 9 apples. How many times as many apples did Sarah pick?,5 (times),Common-Division,45/9=5
nluds-0547,ASDiv,1-2,"If you can choose between a regular or waffle cone and vanilla, strawberry, caramel, and bubblegum flavored ice cream, how many different ways can ice cream be ordered?",8 (different ways),Multiplication,2*4=8
nluds-0548,ASDiv,1-2,There are 261 fishbowls. Each fishbowl has 23 fish. How many fish are there?,6003 (fish),Multiplication,261*23=6003
nluds-0549,ASDiv,1-2,We ordered 21 pizzas. Each pizza has 8 slices. How many slices of pizza are there altogether?,168 (slices of pizza),Multiplication,21*8=168
nluds-0550,ASDiv,1-2,Chris gave his 35 friends 12 pieces of candy each. How many pieces of candy did Chris give his friends?,420 (pieces of candy),Multiplication,35*12=420
nluds-0551,ASDiv,1-2,Emily collected eggs from the hen and put them into 303 baskets. She put 28 eggs into each basket. How many eggs did Emily collect?,8484 (eggs),Multiplication,303*28=8484
nluds-0552,ASDiv,1-2,There were 150 book shelves. Each book shelf had 15 books. How many books were on the shelves?,2250 (books),Multiplication,150*15=2250
nluds-0553,ASDiv,1-2,I see 23 boys. How many eyes do I see?,46 (eyes),Multiplication,23*2=46
nluds-0554,ASDiv,1-2,I see 105 puppies. How many ears do they have?,210 (ears),Multiplication,105*2=210
nluds-0555,ASDiv,1-2,I see 349 frogs. How many legs do they have?,1396 (legs),Multiplication,349*4=1396
nluds-0556,ASDiv,1-2,There are 84 leaves. There are 139 ladybugs on each leaf. How many ladybugs are there in all?,11676 (ladybugs),Multiplication,84*139=11676
nluds-0557,ASDiv,1-2,There are 37 baskets. There are 17 apples in each basket. How many apples are there in all?,629 (apples),Multiplication,37*17=629
nluds-0558,ASDiv,1-2,There are 544 pots. Each pot has 32 flowers in it. How many flowers are there in all?,17408 (flowers),Multiplication,544*32=17408
nluds-0559,ASDiv,1-2,Your class is having a pizza party. You buy 5 pizzas. Each pizza has 4 slices. How many slices is that altogether?,20 (slices),Multiplication,5*4=20
nluds-0560,ASDiv,1-2,Beth has 4 packs of crayons. Each pack has 10 crayons in it. She also has 6 extra crayons. How many crayons does Beth have altogether?,46 (crayons),Addition,(4*10)+6=46
nluds-0561,ASDiv,1-2,Ted has 15 candy bars. He wants to put them into 5 bags so there are the same number of candy bars in each bag. How many candy bars should go in each bag?,3 (candy bars),Common-Division,15/5=3
nluds-0562,ASDiv,1-2,A candy store has 6 boxes of chocolates. Each box has 500 pieces. How many pieces are there altogether in the 6 boxes?,3000 (pieces),Multiplication,6*500=3000
nluds-0563,ASDiv,1-2,You want to share 34 pencils among 6 friends. How many would each friend get?,5 (pencils),Floor-Division,34/6=5 r4
nluds-0564,ASDiv,1-2,Martha bought 18 small cakes. She has 3 children. She would like to divide the cakes among her children so that each child gets the same amount. How many cakes would each child get?,6 (cakes),Common-Division,18/3=6
nluds-0565,ASDiv,1-2,"Julian is writing a comic book. His story has 143 frames in all. If he wants to put exactly 11 frames on each page, how many pages would he have?",13 (pages),Common-Division,143/11=13
nluds-0566,ASDiv,1-2,Jesse's room is 12 feet long and 8 feet wide. How much carpet does she need to cover the whole floor?,96 (square feet),Multiplication,12*8=96
nluds-0567,ASDiv,1-2,"There are 5 people on the Green Bay High track team. If a relay race is 150 meters long, and all 5 team members participate, how far will each team member have to run?",30 (meters),Common-Division,150/5=30
nluds-0568,ASDiv,1-2,It takes 4 feet of cotton to make a tee-shirt. How many tee-shirts can be made with 60 feet of material?,15 (tee-shirts),Common-Division,60/4=15
nluds-0569,ASDiv,1-2,Lukas averages 12 points per game in basketball. How many points would he score in 5 games?,60 (points),Multiplication,12*5=60
nluds-0570,ASDiv,1-2,My car gets 20 miles per gallon. How many miles can I drive on 5 gallons of gas?,100 (miles),Multiplication,20*5=100
nluds-0571,ASDiv,1-2,It takes 7 minutes to bake one pan of cookies. How long will it take to bake 4 pans of cookies?,28 (minutes),Multiplication,7*4=28
nluds-0572,ASDiv,1-2,"My car gets 20 miles per gallon of gas. If Grandma's house is 100 miles away, how many gallons of gas would it take to get to her house?",5 (gallons of gas),Common-Division,100/20=5
nluds-0573,ASDiv,1-2,Everyday I eat 3 servings of veggies. How many servings of veggies do I eat in one week?,21 (servings of veggies),Multiplication,3*7=21
nluds-0574,ASDiv,1-2,Melissa scored 120 points in each game. How many points did she score in 10 games?,1200 (points),Multiplication,120*10=1200
nluds-0575,ASDiv,1-2,Johnny practiced for the track team and ran 3 laps per minute. How many minutes did it take Johnny to run 10 laps?,3.333 (minutes),Common-Division,10/3=3.333
nluds-0576,ASDiv,1-2,"Our watermelons have 100 seeds each. If we have 4 watermelons, how many seeds should there be when all seeds are taken out of the watermelons?",400 (seeds),Multiplication,100*4=400
nluds-0577,ASDiv,1-2,63 people are going to the zoo. There are 3 cars to take people to the zoo. How many will go in each car if the same number go in each car?,21 (people),Common-Division,63/3=21
nluds-0578,ASDiv,1-2,"I have 80 cents to buy candy. If each gumdrop costs 4 cents, how many gumdrops can I buy?",20 (gumdrops),Common-Division,80/4=20
nluds-0579,ASDiv,1-2,Maggi had 3 packages of cupcakes. There are 4 cupcakes in each package. She ate 5 cupcakes. How many are left?,7 (cupcakes),Subtraction,(3*4)-5=7
nluds-0580,ASDiv,1-2,58 children are taking a bus to the zoo. They sit 2 children in every seat. How many seats will the children need in all?,29 (seats),Common-Division,58/2=29
nluds-0581,ASDiv,1-2,"The Razorback T-shirt Shop ordered 12 cases of t-shirts. If each case contains 24 t-shirts, how many t-shirts did they order?",288 (t-shirts),Multiplication,12*24=288
nluds-0582,ASDiv,1-2,The Razorback T-shirt Shop makes $9 dollars off each t-shirt sold. During the Arkansas and Texas Tech game they sold 245 t-shirts. How much money did they make from selling the t-shirts?,2205 (dollars),Multiplication,9*245=2205
nluds-0583,ASDiv,1-2,The Razorback t-shirt Shop sells their t-shirts for $16. Last week they sold 45 t-shirts. How much money did they make last week?,720 (dollars),Multiplication,16*45=720
nluds-0584,ASDiv,1-2,Mrs. Walker will have 56 apples for bobbing for apples. Each bucket will hold 9 apples. How many buckets will she need?,7 (buckets),Ceil-Division,56/9=6 r2
nluds-0585,ASDiv,1-2,Warren has 252 guests coming to his party. Each table will hold 4 guests. How many tables will he need?,63 (tables),Common-Division,252/4=63
nluds-0586,ASDiv,1-2,"Ellen had 380 legos, but she lost 57 of them. How many legos does she have now?",323 (legos),Subtraction,380-57=323
nluds-0587,ASDiv,1-2,Arthur baked 35 muffins. How many more muffins does Arthur have to bake to have 83 muffins?,48 (muffins),Subtraction,83-35=48
nluds-0588,ASDiv,1-2,Willy has 1400 crayons. Lucy has 290 crayons. How many more crayons does Willy have then Lucy?,1110 (crayons),Subtraction,1400-290=1110
nluds-0589,ASDiv,1-2,"There are 10 stickers on a page. If you have 22 pages of stickers, how many stickers do you have?",220 (stickers),Multiplication,10*22=220
nluds-0590,ASDiv,1-2,There are 96 cupcakes for 8 children to share. How much will each person get if they share the cupcakes equally?,12 (cupcakes),Common-Division,96/8=12
nluds-0591,ASDiv,1-2,Lizette has 813 stamps. She has 125 more stamps than Minerva. How many stamps does Minerva have?,688 (stamps),Subtraction,813-125=688
nluds-0592,ASDiv,1-2,"White t-shirts can be purchased in packages of 6. If Mom buys 71 packages, how many white t-shirts will she have?",426 (white t-shirts),Multiplication,6*71=426
nluds-0593,ASDiv,1-2,"I have 648 pencils. If I put 4 pencils in each pencil box, how many pencil boxes will I fill?",162 (pencil boxes),Common-Division,648/4=162
nluds-0594,ASDiv,1-2,"Uncle Dave bought 143 ice cream sandwiches. If he wants to give them to his 11 hungry nieces, how many can each niece get?",13 (ice cream sandwiches),Common-Division,143/11=13
nluds-0595,ASDiv,1-2,Megan had 217 markers. Robert gave her 109 more markers. How many markers does Megan have altogether?,326 (markers),Addition,217+109=326
nluds-0596,ASDiv,1-2,A DVD book holds 126 DVDs. There are 81 DVDs already in the book. How many more DVDs can be put in the book?,45 (DVDs),Subtraction,126-81=45
nluds-0597,ASDiv,1-2,Kelly has 121 Nintendo games. How many does she need to give away so that she will have 22 games left?,99 (games),Subtraction,121-22=99
nluds-0598,ASDiv,1-2,Connie had some marbles. She gave 183 to Juan. Now she has 593 marbles left. How many did she have to start with?,776 (marbles),Addition,593+183=776
nluds-0599,ASDiv,1-2,Iesha has 344 books. 136 are about school and the rest are about sports. How many books about sports does Iesha have?,208 (books),Subtraction,344-136=208
nluds-0600,ASDiv,1-2,James has 1222 balloons. Amy has 513 balloons. How many more balloons does James have than Amy?,709 (balloons),Subtraction,1222-513=709
nluds-0601,ASDiv,1-2,Sean has 223 whistles. He has 95 more whistles that Charles. How many whistles does Charles have?,128 (whistles),Subtraction,223-95=128
nluds-0602,ASDiv,1-2,Connie has 323 marbles. Juan has 175 more marbles than Connie. How many marbles does Juan have?,498 (marbles),Addition,323+175=498
nluds-0603,ASDiv,1-2,Robin has 27 packages of gum. There are 18 pieces in each package. How many pieces of gum does Robin have?,486 (pieces of gum),Multiplication,27*18=486
nluds-0604,ASDiv,1-2,Adam has $5.00 to buy an airplane that costs $4.28. How much change will he get?,0.72 (dollars),Subtraction,5.00-4.28=0.72
nluds-0605,ASDiv,1-2,"If each ball costs $1.54, how much must Kyoko pay for three balls?",4.62 (dollars),Multiplication,1.54*3=4.62
nluds-0606,ASDiv,1-2,"Tony had $20. He paid $8 for a ticket to a baseball game. At the game, he bought a hot dog for $3. What amount of money did Tony have then?",9 (dollars),TVQ-Final,20-8-3=9
nluds-0607,ASDiv,1-2,Mr. Guzman bought 48 doughnuts packed equally into 4 boxes. How many doughnuts were in each box?,12 (doughnuts),Common-Division,48/4=12
nluds-0608,ASDiv,1-2,The Sumata family took a five-day vacation by car. Each day they drove 250 miles. How many total miles did they drive?,1250 (miles),Multiplication,250*5=1250
nluds-0609,ASDiv,1-2,"One stamp costs $0.34. Two stamps cost $0.68. Three stamps cost $1.02. If the cost of each stamp remains the same, how much would 4 stamps cost?",1.36 (dollars),Addition,1.02+0.34=1.36
nluds-0610,ASDiv,1-2,"The town of Milburg has 5,256 grown-ups and 2,987 children. How many people live in Milburg?",8243 (people),Addition,5256+2987=8243
nluds-0611,ASDiv,1-2,Lisa rented 4 DVDs for $4.80. How much did each DVD cost to rent?,1.2 (dollars),Common-Division,4.80/4=1.20
nluds-0612,ASDiv,1-2,"There were 3,409 pieces of candy in a jar. If 145 pieces were red and the rest were blue, how many were blue?",3264 (pieces of candy),Subtraction,3409-145=3264
nluds-0613,ASDiv,1-2,"On Friday, 1,250 people visited the zoo. Three times as many people visited on Saturday than on Friday. How many people visited the zoo on Saturday?",3750 (people),Multiplication,1250*3=3750
